Node num,Money,victory poitns,ruby?
node 1,0,0,no
node 2,1,0,no
node 3,2,0,no
node 4,3,0,no
node 5,4,0,no
node 6,5,0,yes
node 7,6,1,no
node 8,7,1,no
node 9,8,1,no
node 10,9,1,yes
node 11,10,2,no
node 12,11,2,no
node 13,12,2,no
node 14,13,2,yes
node 15,14,3,no
node 16,15,3,no
node 17,15,3,yes
node 18,16,3,no
node 19,16,4,no
node 20,17,4,no
node 21,17,4,yes
node 22,18,4,no
node 23,18,5,no
node 24,19,5,no
node 25,19,5,yes
node 26,20,5,no
node 27,20,6,no
node 28,21,6,no
node 29,21,6,yes
node 30,22,7,no
node 31,22,7,yes
node 32,23,7,no
node 33,23,8,no
node 34,24,8,no
node 35,24,8,yes
node 36,25,9,no
node 37,25,9,yes
node 38,26,9,no
node 39,26,10,no
node 40,27,10,no
node 41,27,10,yes
node 42,28,11,no
node 43,28,11,yes
node 44,29,11,no
node 45,29,12,no
node 46,30,12,no
node 47,30,12,yes
node 48,31,12,no
node 49,31,13,no
node 50,32,13,no
node 51,32,13,yes
node 52,33,14,no
node 53,33,14,yes
node 54,35,15,no
